Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
"01/07/2018 00:00:00";"3,300";"6,800";"5,600";"9,800";"6,700";"8,900";"4,500";"8,800";"4,700";"9,200";"2,800";"3,400";"7,000";"6,100";"5,500";"3,600";"6,200";"5,200";"4,200";"6,300";"2,900";"9,000";"3,000";"2,400";"4,500";"2,200";"4,300";"9,900";"2,100";"3,200";"4,400";"6,400";"6,800";"3,200";"4,300";"7,300";"5,000";"9,200";"3,000";"5,600";"7,100";"7,100";"7,100";"9,800";"9,400";"4,300";"6,100";"2,500";"8,800";"5,400";"4,100";"12,600";"5,300";"8,400";"10,600";"11,000";"8,000";"6,200";"11,500";"7,100";"8,200";"8,900";"4,100";"5,600";"6,700";"6,500";"7,400";"6,800";"6,200";"8,400";"9,200";"5,400";"2,800";"5,700";"7,500";"8,800";"6,500";"4,100";"8,200";"13,700";"4,500";"9,200";"4,300";"7,500";"4,600";"3,000";"9,000";"7,400";"5,400";"2,200";"4,800";"9,000";"4,300";"5,100";"10,200";"8,600";
"02/07/2018 00:00:00";"3,400";"4,900";"5,300";"8,000";"6,500";"6,100";"7,400";"4,200";"8,800";"2,200";"3,100";"9,700";"4,800";"6,400";"6,400";"6,900";"4,000";"3,800";"5,500";"7,800";"2,400";"3,300";"7,900";"8,200";"10,800";"5,500";"13,000";"4,400";"7,000";"7,300";"12,000";"11,400";"17,800";"12,800";"12,700";"10,700";"6,900";"6,000";"13,200";"12,000";"16,000";"15,100";"14,000";"11,100";"8,700";"11,000";"12,000";"11,500";"8,400";"6,500";"7,500";"8,600";"12,000";"9,300";"9,800";"14,700";"15,600";"7,700";"3,600";"15,300";"7,100";"8,400";"6,800";"11,100";"11,000";"5,800";"10,700";"4,900";"7,700";"9,500";"4,800";"11,100";"6,700";"9,800";"7,800";"14,200";"6,100";"2,600";"8,900";"10,300";"9,200";"8,200";"7,300";"5,600";"6,900";"7,800";"5,200";"5,200";"7,300";"5,300";"5,900";"7,100";"2,700";"7,100";"6,800";"6,000";
"03/07/2018 00:00:00";"4,400";"5,900";"5,400";"7,300";"6,000";"8,200";"4,200";"8,100";"5,700";"8,100";"3,400";"1,800";"9,000";"4,700";"5,400";"6,400";"3,800";"7,800";"3,400";"4,600";"6,200";"8,400";"13,200";"6,900";"9,600";"6,100";"10,600";"3,100";"9,700";"7,000";"6,300";"11,000";"12,800";"9,400";"13,200";"10,300";"7,600";"9,800";"11,200";"10,700";"7,900";"11,200";"9,200";"22,600";"19,200";"20,500";"13,100";"11,100";"22,800";"22,100";"15,500";"21,800";"12,900";"7,200";"7,900";"12,600";"10,200";"4,300";"11,800";"8,200";"12,900";"4,900";"8,800";"8,600";"9,600";"3,900";"11,700";"3,100";"4,700";"12,100";"3,400";"10,100";"5,600";"6,500";"11,600";"9,200";"5,900";"6,600";"8,400";"9,000";"9,700";"4,800";"7,600";"9,200";"5,100";"4,200";"7,700";"7,600";"5,200";"4,500";"6,600";"7,200";"6,300";"3,200";"5,300";"9,700";
"04/07/2018 00:00:00";"4,100";"2,700";"7,600";"7,000";"7,700";"3,600";"6,100";"9,500";"1,600";"5,200";"5,000";"4,600";"6,100";"4,600";"5,700";"6,200";"3,700";"1,500";"6,300";"7,100";"4,600";"7,000";"7,300";"3,900";"14,000";"8,200";"7,800";"6,400";"7,900";"9,900";"8,400";"10,300";"13,200";"9,400";"7,500";"10,900";"4,700";"13,000";"9,600";"18,000";"11,000";"19,200";"21,400";"17,400";"18,600";"18,300";"17,100";"15,400";"15,700";"8,900";"13,200";"12,900";"9,100";"10,200";"13,200";"18,500";"14,200";"16,600";"14,500";"20,800";"19,500";"19,900";"16,800";"8,400";"9,400";"11,800";"9,800";"7,400";"13,800";"8,800";"9,000";"10,200";"7,900";"8,700";"10,900";"14,600";"13,500";"5,800";"13,100";"17,800";"13,600";"13,000";"9,900";"12,400";"10,000";"9,200";"10,600";"6,600";"8,200";"10,600";"6,100";"8,800";"5,000";"6,600";"10,100";"8,600";
"05/07/2018 00:00:00";"3,800";"4,000";"5,500";"10,000";"8,400";"5,400";"8,500";"7,200";"9,300";"6,400";"2,900";"8,700";"7,100";"5,200";"7,400";"7,800";"5,200";"3,800";"3,500";"9,200";"9,700";"12,200";"9,300";"6,200";"11,600";"4,700";"10,200";"13,600";"8,500";"11,700";"11,200";"9,800";"19,500";"10,300";"9,000";"11,200";"7,800";"11,400";"10,400";"12,600";"14,400";"10,700";"14,600";"11,800";"14,200";"17,300";"10,600";"10,600";"6,600";"9,600";"7,800";"9,000";"5,800";"7,000";"9,900";"11,700";"6,400";"10,200";"5,800";"6,700";"10,000";"5,100";"10,500";"7,200";"5,600";"6,100";"6,400";"7,400";"8,000";"7,400";"3,200";"6,600";"8,400";"8,800";"9,400";"10,400";"7,200";"6,800";"6,000";"9,600";"12,100";"5,000";"9,700";"10,600";"3,800";"7,600";"8,100";"6,700";"4,600";"4,600";"8,500";"3,800";"5,900";"4,800";"6,700";"6,400";
"06/07/2018 00:00:00";"3,300";"4,200";"6,300";"7,500";"6,600";"4,200";"6,100";"5,100";"8,100";"6,600";"2,800";"3,700";"3,800";"6,200";"4,100";"6,100";"3,000";"3,000";"8,400";"4,200";"5,700";"1,300";"8,000";"13,200";"7,800";"5,700";"6,200";"6,900";"4,600";"7,700";"6,900";"10,000";"4,300";"6,300";"10,400";"9,800";"6,000";"11,800";"10,600";"20,600";"8,300";"15,100";"10,800";"18,400";"12,300";"14,300";"16,400";"18,700";"9,000";"12,600";"4,400";"13,100";"6,600";"4,500";"4,600";"9,900";"12,700";"7,800";"10,300";"5,800";"11,800";"4,200";"6,500";"9,900";"4,800";"8,200";"4,900";"6,500";"5,500";"3,600";"7,600";"9,700";"9,100";"9,400";"9,800";"12,300";"7,400";"8,600";"7,600";"10,700";"12,700";"5,200";"7,400";"8,100";"8,500";"3,900";"9,600";"3,500";"8,400";"7,800";"4,200";"6,200";"5,000";"6,200";"4,600";"4,500";
"07/07/2018 00:00:00";"8,800";"3,800";"7,200";"6,700";"6,000";"10,100";"3,800";"6,800";"2,700";"9,000";"2,400";"3,100";"5,200";"4,100";"7,900";"6,600";"2,100";"4,500";"5,400";"6,100";"5,200";"4,500";"3,200";"9,900";"11,200";"7,100";"7,400";"8,700";"9,600";"5,900";"7,300";"6,900";"12,100";"8,200";"12,500";"10,900";"10,200";"7,600";"11,100";"13,800";"10,400";"12,300";"11,300";"13,700";"22,800";"25,000";"15,000";"13,100";"6,800";"13,100";"12,600";"10,800";"9,800";"10,400";"10,200";"17,000";"7,200";"8,700";"12,700";"8,800";"10,200";"10,400";"9,400";"8,200";"7,800";"6,900";"9,200";"8,800";"5,500";"5,000";"10,800";"6,100";"4,100";"5,600";"7,100";"7,400";"10,600";"2,100";"7,600";"13,800";"3,700";"10,200";"5,100";"5,900";"7,300";"6,300";"5,100";"5,600";"6,300";"5,300";"6,300";"5,900";"6,500";"6,700";"4,900";"8,300";
"08/07/2018 00:00:00";"3,300";"5,100";"5,800";"10,100";"6,500";"4,000";"7,000";"4,700";"9,600";"3,300";"7,400";"3,600";"4,700";"6,000";"6,000";"5,400";"4,700";"5,700";"3,900";"8,900";"2,900";"2,600";"6,300";"3,900";"5,400";"3,000";"4,200";"8,200";"3,800";"1,900";"3,400";"6,500";"4,400";"8,700";"4,800";"7,300";"5,600";"4,300";"4,800";"4,300";"3,100";"11,600";"1,200";"2,100";"4,800";"5,800";"6,000";"4,600";"2,300";"7,600";"4,300";"5,200";"7,500";"4,800";"7,300";"7,500";"3,300";"6,900";"2,600";"8,200";"8,900";"3,400";"4,500";"8,000";"6,100";"2,700";"6,100";"7,200";"4,200";"4,000";"8,300";"2,000";"5,500";"6,500";"4,500";"12,800";"3,200";"2,600";"8,400";"7,400";"7,600";"5,300";"8,800";"2,400";"4,800";"8,600";"4,100";"5,400";"6,600";"3,700";"6,300";"3,200";"6,000";"4,500";"6,500";"8,000";
"09/07/2018 00:00:00";"2,400";"4,500";"5,900";"7,000";"8,200";"4,800";"7,400";"5,500";"6,000";"2,900";"4,700";"5,300";"4,900";"6,000";"3,900";"6,200";"4,000";"1,900";"4,500";"7,000";"5,000";"2,800";"4,000";"5,000";"11,300";"6,200";"7,600";"6,800";"13,400";"7,500";"4,600";"10,500";"9,500";"7,500";"12,400";"14,000";"5,500";"6,600";"14,900";"10,300";"10,200";"16,000";"21,200";"16,000";"15,200";"10,400";"15,300";"18,000";"10,500";"12,600";"5,400";"11,400";"9,600";"9,200";"7,600";"11,800";"12,300";"6,400";"5,100";"14,500";"6,500";"15,300";"4,900";"10,700";"8,000";"4,700";"10,700";"5,600";"8,600";"3,700";"11,400";"6,000";"8,200";"5,900";"9,100";"10,000";"6,100";"3,100";"10,000";"10,900";"11,700";"10,000";"10,100";"7,600";"7,500";"11,700";"9,400";"5,900";"5,400";"11,500";"6,500";"4,300";"5,100";"9,300";"6,100";"5,200";
"10/07/2018 00:00:00";"9,300";"4,200";"5,900";"10,900";"6,300";"5,000";"4,200";"9,700";"6,100";"7,200";"4,100";"2,900";"6,800";"5,600";"7,300";"6,000";"5,300";"2,100";"7,700";"7,300";"4,100";"3,300";"5,200";"11,000";"11,900";"10,000";"6,600";"8,400";"8,500";"4,000";"10,500";"9,100";"13,000";"9,300";"10,000";"6,900";"11,200";"8,600";"9,700";"7,800";"11,700";"12,200";"17,100";"12,500";"15,400";"4,200";"9,200";"14,200";"10,300";"6,400";"10,200";"11,300";"9,300";"6,000";"7,400";"12,800";"13,500";"5,900";"6,300";"11,700";"8,700";"5,600";"13,000";"9,300";"4,100";"6,300";"6,800";"6,100";"7,500";"2,300";"13,300";"9,000";"10,900";"10,700";"9,900";"11,700";"14,100";"6,000";"10,700";"13,700";"4,900";"8,300";"9,300";"3,700";"6,500";"3,600";"9,900";"4,200";"3,600";"7,200";"5,000";"5,700";"4,000";"6,200";"6,000";"7,800";
"11/07/2018 00:00:00";"2,500";"5,500";"2,500";"10,900";"7,700";"5,900";"2,800";"4,500";"10,700";"4,300";"4,400";"2,100";"4,800";"6,800";"2,800";"5,400";"8,500";"1,900";"3,900";"9,600";"2,000";"7,400";"5,600";"8,700";"7,100";"14,800";"12,400";"13,300";"8,700";"8,800";"10,600";"9,900";"16,600";"12,800";"8,600";"20,200";"10,500";"10,900";"11,400";"12,800";"19,700";"14,100";"17,600";"16,400";"19,500";"15,500";"19,900";"20,300";"11,100";"10,500";"12,700";"12,200";"11,700";"9,700";"13,000";"14,800";"11,000";"7,300";"5,400";"11,600";"11,200";"12,100";"10,500";"7,400";"15,500";"6,700";"8,200";"9,800";"6,200";"9,200";"9,900";"7,200";"5,300";"7,600";"10,800";"15,200";"6,600";"4,400";"9,200";"13,500";"10,500";"9,500";"9,300";"7,400";"9,500";"10,900";"4,600";"7,800";"5,800";"10,200";"7,200";"5,100";"7,500";"8,200";"7,200";"8,800";
"12/07/2018 00:00:00";"4,200";"3,600";"7,900";"7,900";"6,000";"8,000";"6,100";"8,100";"7,300";"5,600";"7,500";"4,400";"6,800";"6,500";"4,600";"11,200";"3,900";"2,800";"5,700";"7,600";"7,300";"4,000";"5,400";"9,700";"9,200";"9,500";"16,000";"11,300";"14,500";"9,400";"10,000";"12,200";"16,300";"12,700";"16,100";"12,100";"10,300";"5,800";"14,800";"17,700";"11,500";"17,700";"12,300";"17,900";"16,200";"13,600";"19,200";"14,900";"18,900";"14,500";"11,400";"11,900";"11,200";"7,400";"11,200";"14,700";"11,500";"6,700";"9,800";"12,600";"8,700";"13,800";"9,900";"7,300";"5,000";"9,800";"7,900";"8,300";"5,900";"5,800";"13,300";"3,600";"9,400";"6,400";"7,800";"15,700";"6,100";"5,400";"11,100";"10,800";"11,000";"6,900";"13,200";"8,500";"8,100";"4,800";"10,000";"6,200";"5,500";"6,200";"5,800";"9,800";"5,200";"3,100";"8,500";"6,000";
