Time,Produzione (W)
23/03/2020 00:00,"0"
23/03/2020 00:15,"0"
23/03/2020 00:30,"0"
23/03/2020 00:45,"0"
23/03/2020 01:00,"0"
23/03/2020 01:15,"0"
23/03/2020 01:30,"0"
23/03/2020 01:45,"0"
23/03/2020 02:00,"0"
23/03/2020 02:15,"0"
23/03/2020 02:30,"0"
23/03/2020 02:45,"0"
23/03/2020 03:00,"0"
23/03/2020 03:15,"0"
23/03/2020 03:30,"0"
23/03/2020 03:45,"0"
23/03/2020 04:00,"0"
23/03/2020 04:15,"0"
23/03/2020 04:30,"0"
23/03/2020 04:45,"0"
23/03/2020 05:00,"0"
23/03/2020 05:15,"0"
23/03/2020 05:30,"0"
23/03/2020 05:45,"0"
23/03/2020 06:00,"0"
23/03/2020 06:15,"0"
23/03/2020 06:30,"176.6667"
23/03/2020 06:45,"1043.3334"
23/03/2020 07:00,"3427.6667"
23/03/2020 07:15,"4389.3335"
23/03/2020 07:30,"5490.0005"
23/03/2020 07:45,"8794.666"
23/03/2020 08:00,"11611"
23/03/2020 08:15,"16032"
23/03/2020 08:30,"18941"
23/03/2020 08:45,"19402"
23/03/2020 09:00,"20594.668"
23/03/2020 09:15,"21091"
23/03/2020 09:30,"30602.334"
23/03/2020 09:45,"52121"
23/03/2020 10:00,"53529.9961"
23/03/2020 10:15,"54839.668"
23/03/2020 10:30,"57267.0039"
23/03/2020 10:45,"59841"
23/03/2020 11:00,"62218.6641"
23/03/2020 11:15,"62771"
23/03/2020 11:30,"64098.6641"
23/03/2020 11:45,"64783.668"
23/03/2020 12:00,"64694"
23/03/2020 12:15,"65271.6641"
23/03/2020 12:30,"64747.6641"
23/03/2020 12:45,"63653.3359"
23/03/2020 13:00,"62933"
23/03/2020 13:15,"62419.3359"
23/03/2020 13:30,"61355"
23/03/2020 13:45,"59171"
23/03/2020 14:00,"57756.668"
23/03/2020 14:15,"55386"
23/03/2020 14:30,"52297"
23/03/2020 14:45,"49319.3359"
23/03/2020 15:00,"46515.668"
23/03/2020 15:15,"43020.332"
23/03/2020 15:30,"38645.3359"
23/03/2020 15:45,"32641.6641"
23/03/2020 16:00,"29033.668"
23/03/2020 16:15,"25304"
23/03/2020 16:30,"21138.332"
23/03/2020 16:45,"15150.334"
23/03/2020 17:00,"12471.5"
23/03/2020 17:15,"8820.666"
23/03/2020 17:30,"5766.333"
23/03/2020 17:45,"3402.3333"
23/03/2020 18:00,"1386.3333"
23/03/2020 18:15,"301"
23/03/2020 18:30,"0"
23/03/2020 18:45,"0"
23/03/2020 19:00,"0"
23/03/2020 19:15,"0"
23/03/2020 19:30,"0"
23/03/2020 19:45,"0"
23/03/2020 20:00,"0"
23/03/2020 20:15,"0"
23/03/2020 20:30,"0"
23/03/2020 20:45,"0"
23/03/2020 21:00,"0"
23/03/2020 21:15,"0"
23/03/2020 21:30,"0"
23/03/2020 21:45,"0"
23/03/2020 22:00,"0"
23/03/2020 22:15,"0"
23/03/2020 22:30,"0"
23/03/2020 22:45,"0"
23/03/2020 23:00,"0"
23/03/2020 23:15,"0"
23/03/2020 23:30,"0"
23/03/2020 23:45,"0"
24/03/2020 00:00,"0"
24/03/2020 00:15,"0"
24/03/2020 00:30,"0"
24/03/2020 00:45,"0"
24/03/2020 01:00,"0"
24/03/2020 01:15,"0"
24/03/2020 01:30,"0"
24/03/2020 01:45,"0"
24/03/2020 02:00,"0"
24/03/2020 02:15,"0"
24/03/2020 02:30,"0"
24/03/2020 02:45,"0"
24/03/2020 03:00,"0"
24/03/2020 03:15,"0"
24/03/2020 03:30,"0"
24/03/2020 03:45,"0"
24/03/2020 04:00,"0"
24/03/2020 04:15,"0"
24/03/2020 04:30,"0"
24/03/2020 04:45,"0"
24/03/2020 05:00,"0"
24/03/2020 05:15,"0"
24/03/2020 05:30,"0"
