Time,Produzione (W)
02/03/2020 00:00,"0"
02/03/2020 00:15,"0"
02/03/2020 00:30,"0"
02/03/2020 00:45,"0"
02/03/2020 01:00,"0"
02/03/2020 01:15,"0"
02/03/2020 01:30,"0"
02/03/2020 01:45,"0"
02/03/2020 02:00,"0"
02/03/2020 02:15,"0"
02/03/2020 02:30,"0"
02/03/2020 02:45,"0"
02/03/2020 03:00,"0"
02/03/2020 03:15,"0"
02/03/2020 03:30,"0"
02/03/2020 03:45,"0"
02/03/2020 04:00,"0"
02/03/2020 04:15,"0"
02/03/2020 04:30,"0"
02/03/2020 04:45,"0"
02/03/2020 05:00,"0"
02/03/2020 05:15,"0"
02/03/2020 05:30,"0"
02/03/2020 05:45,"0"
02/03/2020 06:00,"0"
02/03/2020 06:15,"0"
02/03/2020 06:30,"0"
02/03/2020 06:45,"0"
02/03/2020 07:00,"83.3333"
02/03/2020 07:15,"486.3333"
02/03/2020 07:30,"1307"
02/03/2020 07:45,"1934.6666"
02/03/2020 08:00,"3871.6667"
02/03/2020 08:15,"6204.333"
02/03/2020 08:30,"7814.6665"
02/03/2020 08:45,"6298.333"
02/03/2020 09:00,"4374"
02/03/2020 09:15,"2421.3335"
02/03/2020 09:30,"3303.6667"
02/03/2020 09:45,"3477.6667"
02/03/2020 10:00,"4123"
02/03/2020 10:15,"7382.6665"
02/03/2020 10:30,"10192.334"
02/03/2020 10:45,"6958"
02/03/2020 11:00,"6184"
02/03/2020 11:15,"8367.667"
02/03/2020 11:30,"6651.6665"
02/03/2020 11:45,"6885"
02/03/2020 12:00,"9022.333"
02/03/2020 12:15,"5571.3335"
02/03/2020 12:30,"6278"
02/03/2020 12:45,"7934.333"
02/03/2020 13:00,"7566.333"
02/03/2020 13:15,"6111"
02/03/2020 13:30,"9766.666"
02/03/2020 13:45,"8781.667"
02/03/2020 14:00,"11739"
02/03/2020 14:15,"10560.667"
02/03/2020 14:30,"7646.667"
02/03/2020 14:45,"6126.667"
02/03/2020 15:00,"6826.6665"
02/03/2020 15:15,"7359.667"
02/03/2020 15:30,"5479.6665"
02/03/2020 15:45,"4753.333"
02/03/2020 16:00,"2913"
02/03/2020 16:15,"3162.6667"
02/03/2020 16:30,"2455"
02/03/2020 16:45,"2877"
02/03/2020 17:00,"1039"
02/03/2020 17:15,"954.3334"
02/03/2020 17:30,"69"
02/03/2020 17:45,"0"
02/03/2020 18:00,"0"
02/03/2020 18:15,"0"
02/03/2020 18:30,"0"
02/03/2020 18:45,"0"
02/03/2020 19:00,"0"
02/03/2020 19:15,"0"
02/03/2020 19:30,"0"
02/03/2020 19:45,"0"
02/03/2020 20:00,"0"
02/03/2020 20:15,"0"
02/03/2020 20:30,"0"
02/03/2020 20:45,"0"
02/03/2020 21:00,"0"
02/03/2020 21:15,"0"
02/03/2020 21:30,"0"
02/03/2020 21:45,"0"
02/03/2020 22:00,"0"
02/03/2020 22:15,"0"
02/03/2020 22:30,"0"
02/03/2020 22:45,"0"
02/03/2020 23:00,"0"
02/03/2020 23:15,"0"
02/03/2020 23:30,"0"
02/03/2020 23:45,"0"
03/03/2020 00:00,"0"
03/03/2020 00:15,"0"
03/03/2020 00:30,"0"
03/03/2020 00:45,"0"
03/03/2020 01:00,"0"
03/03/2020 01:15,"0"
03/03/2020 01:30,"0"
03/03/2020 01:45,"0"
03/03/2020 02:00,"0"
03/03/2020 02:15,"0"
03/03/2020 02:30,"0"
03/03/2020 02:45,"0"
03/03/2020 03:00,"0"
03/03/2020 03:15,"0"
03/03/2020 03:30,"0"
03/03/2020 03:45,"0"
03/03/2020 04:00,"0"
03/03/2020 04:15,"0"
03/03/2020 04:30,"0"
03/03/2020 04:45,"0"
03/03/2020 05:00,"0"
03/03/2020 05:15,"0"
03/03/2020 05:30,"0"
03/03/2020 05:45,"0"
03/03/2020 06:00,"0"
03/03/2020 06:15,"0"
03/03/2020 06:30,"0"
03/03/2020 06:45,"0"
03/03/2020 07:00,"60.3333"
03/03/2020 07:15,"298.6667"
03/03/2020 07:30,"320.6667"
03/03/2020 07:45,"363.6667"
03/03/2020 08:00,"829.3334"
03/03/2020 08:15,"1122.8334"
03/03/2020 08:30,"2288"
03/03/2020 08:45,"1869.6667"
03/03/2020 09:00,"4215.667"
03/03/2020 09:15,"5828.0005"
03/03/2020 09:30,"6741"
03/03/2020 09:45,"5408.167"
03/03/2020 10:00,"4670"
03/03/2020 10:15,"3886.3335"
03/03/2020 10:30,"2224"
03/03/2020 10:45,"1292"
03/03/2020 11:00,"1125.6666"
03/03/2020 11:15,"1876"
03/03/2020 11:30,"2955.0002"
03/03/2020 11:45,"6545.6665"
03/03/2020 12:00,"7104"
03/03/2020 12:15,"10967"
03/03/2020 12:30,"20341.668"
03/03/2020 12:45,"17997"
03/03/2020 13:00,"15674"
03/03/2020 13:15,"12281"
03/03/2020 13:30,"10239.333"
03/03/2020 13:45,"6657.3335"
03/03/2020 14:00,"7164"
03/03/2020 14:15,"8301.666"
03/03/2020 14:30,"3891"
03/03/2020 14:45,"1821.3333"
03/03/2020 15:00,"2738.6667"
03/03/2020 15:15,"2978.6667"
03/03/2020 15:30,"1750.3334"
03/03/2020 15:45,"2088"
03/03/2020 16:00,"3921"
03/03/2020 16:15,"5369.3335"
03/03/2020 16:30,"4729.3335"
03/03/2020 16:45,"2204.6667"
03/03/2020 17:00,"1259.3333"
03/03/2020 17:15,"655.6666"
03/03/2020 17:30,"282"
03/03/2020 17:45,"0"
03/03/2020 18:00,"0"
03/03/2020 18:15,"0"
03/03/2020 18:30,"0"
03/03/2020 18:45,"0"
03/03/2020 19:00,"0"
03/03/2020 19:15,"0"
03/03/2020 19:30,"0"
03/03/2020 19:45,"0"
03/03/2020 20:00,"0"
03/03/2020 20:15,"0"
03/03/2020 20:30,"0"
03/03/2020 20:45,"0"
03/03/2020 21:00,"0"
03/03/2020 21:15,"0"
03/03/2020 21:30,"0"
03/03/2020 21:45,"0"
03/03/2020 22:00,"0"
03/03/2020 22:15,"0"
03/03/2020 22:30,"0"
03/03/2020 22:45,"0"
03/03/2020 23:00,"0"
03/03/2020 23:15,"0"
03/03/2020 23:30,"0"
03/03/2020 23:45,"0"
04/03/2020 00:00,"0"
04/03/2020 00:15,"0"
04/03/2020 00:30,"0"
04/03/2020 00:45,"0"
04/03/2020 01:00,"0"
04/03/2020 01:15,"0"
04/03/2020 01:30,"0"
04/03/2020 01:45,"0"
04/03/2020 02:00,"0"
04/03/2020 02:15,"0"
04/03/2020 02:30,"0"
04/03/2020 02:45,"0"
04/03/2020 03:00,"0"
04/03/2020 03:15,"0"
04/03/2020 03:30,"0"
04/03/2020 03:45,"0"
04/03/2020 04:00,"0"
04/03/2020 04:15,"0"
04/03/2020 04:30,"0"
04/03/2020 04:45,"0"
04/03/2020 05:00,"0"
04/03/2020 05:15,"0"
04/03/2020 05:30,"0"
04/03/2020 05:45,"0"
04/03/2020 06:00,"0"
04/03/2020 06:15,"0"
04/03/2020 06:30,"0"
04/03/2020 06:45,"0"
04/03/2020 07:00,"262"
04/03/2020 07:15,"1090.3333"
04/03/2020 07:30,"1834"
04/03/2020 07:45,"3114"
04/03/2020 08:00,"4109.667"
04/03/2020 08:15,"5694"
04/03/2020 08:30,"4913"
04/03/2020 08:45,"5826.6665"
04/03/2020 09:00,"7233.667"
04/03/2020 09:15,"10657"
04/03/2020 09:30,"14762.666"
04/03/2020 09:45,"16966.666"
04/03/2020 10:00,"21883.002"
04/03/2020 10:15,"22366.666"
04/03/2020 10:30,"39137.3359"
04/03/2020 10:45,"48368"
04/03/2020 11:00,"49030.668"
04/03/2020 11:15,"50580.6641"
04/03/2020 11:30,"52194.0039"
04/03/2020 11:45,"52580.3359"
04/03/2020 12:00,"56372"
04/03/2020 12:15,"53589"
04/03/2020 12:30,"42950.332"
04/03/2020 12:45,"44351.3359"
04/03/2020 13:00,"37629.668"
04/03/2020 13:15,"48803"
04/03/2020 13:30,"37377.6641"
04/03/2020 13:45,"51267.6641"
04/03/2020 14:00,"50605.3359"
04/03/2020 14:15,"46621.668"
04/03/2020 14:30,"33361"
04/03/2020 14:45,"37389.6641"
04/03/2020 15:00,"28449.666"
04/03/2020 15:15,"34002"
04/03/2020 15:30,"28632"
04/03/2020 15:45,"20769.334"
04/03/2020 16:00,"22824"
04/03/2020 16:15,"12703"
04/03/2020 16:30,"13396.334"
04/03/2020 16:45,"10769.666"
04/03/2020 17:00,"6353"
04/03/2020 17:15,"4158"
04/03/2020 17:30,"1795.6667"
04/03/2020 17:45,"1012.6666"
04/03/2020 18:00,"35.3333"
04/03/2020 18:15,"0"
04/03/2020 18:30,"0"
04/03/2020 18:45,"0"
04/03/2020 19:00,"0"
04/03/2020 19:15,"0"
04/03/2020 19:30,"0"
04/03/2020 19:45,"0"
04/03/2020 20:00,"0"
04/03/2020 20:15,"0"
04/03/2020 20:30,"0"
04/03/2020 20:45,"0"
04/03/2020 21:00,"0"
04/03/2020 21:15,"0"
04/03/2020 21:30,"0"
04/03/2020 21:45,"0"
04/03/2020 22:00,"0"
04/03/2020 22:15,"0"
04/03/2020 22:30,"0"
04/03/2020 22:45,"0"
04/03/2020 23:00,"0"
04/03/2020 23:15,"0"
04/03/2020 23:30,"0"
04/03/2020 23:45,"0"
05/03/2020 00:00,"0"
05/03/2020 00:15,"0"
